unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount
1623520800000,2021-06-12 18:00:00,ETC/USDT,55.72600000,56.38000000,55.60500000,56.20700000,79430.43800000,4454530.32234400,6816
1623517200000,2021-06-12 17:00:00,ETC/USDT,55.51400000,56.12900000,55.26400000,55.71700000,35527.13800000,1976997.83450100,5296
1623513600000,2021-06-12 16:00:00,ETC/USDT,55.05500000,55.55000000,54.85500000,55.50500000,50008.94700000,2764056.64257900,5460
1623510000000,2021-06-12 15:00:00,ETC/USDT,55.33300000,55.80000000,54.86200000,55.06000000,48417.95400000,2677892.54502800,5752
1623506400000,2021-06-12 14:00:00,ETC/USDT,55.83500000,55.96800000,55.20200000,55.33300000,62295.45000000,3458139.56307700,13514
1623502800000,2021-06-12 13:00:00,ETC/USDT,56.01800000,56.15500000,55.40400000,55.82200000,43005.72700000,2399646.47310800,11649
1623499200000,2021-06-12 12:00:00,ETC/USDT,54.92100000,56.50000000,54.86000000,56.01700000,87038.25900000,4861314.80303800,8903
1623495600000,2021-06-12 11:00:00,ETC/USDT,55.18400000,55.26800000,54.34700000,54.88500000,49526.73800000,2711128.94785600,6083
1623492000000,2021-06-12 10:00:00,ETC/USDT,53.93900000,55.53200000,53.04900000,55.19100000,150751.20100000,8185500.20694500,11142
1623488400000,2021-06-12 09:00:00,ETC/USDT,53.79300000,54.16800000,53.60000000,53.92300000,41455.86900000,2234992.50834400,3491
1623484800000,2021-06-12 08:00:00,ETC/USDT,54.28000000,54.44900000,53.65100000,53.79600000,31388.30300000,1697150.41634500,3448
1623481200000,2021-06-12 07:00:00,ETC/USDT,54.04900000,54.69300000,54.00000000,54.28900000,36450.71500000,1979802.10023500,4468
1623477600000,2021-06-12 06:00:00,ETC/USDT,53.66300000,54.04900000,53.45600000,54.01100000,28703.53400000,1544073.60205100,2734
1623474000000,2021-06-12 05:00:00,ETC/USDT,53.62200000,54.26600000,53.06000000,53.67200000,92021.82700000,4936858.32632600,5940
1623470400000,2021-06-12 04:00:00,ETC/USDT,54.22700000,54.46300000,53.43300000,53.58100000,67702.66200000,3654384.69881700,4566
1623466800000,2021-06-12 03:00:00,ETC/USDT,53.57900000,54.60600000,53.46800000,54.19100000,79429.37200000,4292657.40159900,6741
1623463200000,2021-06-12 02:00:00,ETC/USDT,54.04500000,54.67600000,53.22300000,53.60100000,125696.43200000,6772390.90122300,12512
1623459600000,2021-06-12 01:00:00,ETC/USDT,55.92600000,56.33300000,53.86400000,54.07800000,183075.39000000,10080844.81293800,13456
1623456000000,2021-06-12 00:00:00,ETC/USDT,56.87200000,56.98900000,55.66900000,55.91800000,76959.35400000,4324159.22226300,6457
