unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1625436000000,2021-07-04 22:00:00,DOT/USDT,16.53400000,16.53700000,16.02600000,16.05000000,440668.30800000,7169509.65527400,14840
1625432400000,2021-07-04 21:00:00,DOT/USDT,16.39200000,16.57500000,16.36400000,16.53600000,394331.63800000,6503864.66607200,11940
1625428800000,2021-07-04 20:00:00,DOT/USDT,16.26500000,16.48100000,16.22600000,16.39200000,488894.38100000,8005025.47025700,14539
1625425200000,2021-07-04 19:00:00,DOT/USDT,16.23800000,16.29900000,16.19500000,16.27000000,209310.39300000,3401244.87610800,5976
1625421600000,2021-07-04 18:00:00,DOT/USDT,16.27700000,16.28500000,16.16000000,16.23800000,202523.00200000,3284060.09555400,7012
1625418000000,2021-07-04 17:00:00,DOT/USDT,16.07500000,16.37000000,16.00300000,16.28100000,528472.32600000,8575647.19690700,17312
1625414400000,2021-07-04 16:00:00,DOT/USDT,15.96600000,16.18600000,15.86900000,16.07600000,531172.47100000,8531741.69122000,19806
1625410800000,2021-07-04 15:00:00,DOT/USDT,15.85500000,15.96700000,15.83100000,15.96700000,272366.55800000,4330594.90238100,8024
1625407200000,2021-07-04 14:00:00,DOT/USDT,15.72200000,15.88300000,15.69600000,15.85600000,209631.93000000,3313623.33419800,6279
1625403600000,2021-07-04 13:00:00,DOT/USDT,15.64600000,15.78700000,15.64300000,15.72100000,230561.65200000,3622761.77361600,6297
1625400000000,2021-07-04 12:00:00,DOT/USDT,15.84000000,15.86600000,15.62300000,15.64200000,358418.81500000,5642037.56089700,8755
1625396400000,2021-07-04 11:00:00,DOT/USDT,15.88300000,15.89900000,15.75900000,15.84300000,172690.46100000,2734040.91546500,5603
1625392800000,2021-07-04 10:00:00,DOT/USDT,15.78600000,15.90600000,15.75100000,15.88000000,278397.80100000,4406959.34826400,7353
1625389200000,2021-07-04 09:00:00,DOT/USDT,15.87300000,15.89700000,15.67600000,15.78500000,499224.36000000,7863532.63425500,11060
1625385600000,2021-07-04 08:00:00,DOT/USDT,15.94400000,16.00000000,15.79300000,15.86700000,450698.67200000,7157377.46220700,11089
1625382000000,2021-07-04 07:00:00,DOT/USDT,15.82800000,16.00000000,15.82300000,15.94200000,744039.93300000,11825629.46439100,19778
1625378400000,2021-07-04 06:00:00,DOT/USDT,15.78200000,15.87700000,15.71700000,15.82600000,334873.31000000,5287204.97616300,11186
1625374800000,2021-07-04 05:00:00,DOT/USDT,15.42400000,15.85500000,15.37900000,15.78200000,522302.36400000,8167889.66353000,15927
1625371200000,2021-07-04 04:00:00,DOT/USDT,15.27500000,15.43600000,15.27200000,15.42500000,231301.50100000,3557473.52789800,5601
