unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1629820800000,2021-08-24 16:00:00,SOL/USDT,71.98500000,72.63400000,68.50000000,70.77700000,664470.93600000,46819567.13181200,89170
1629817200000,2021-08-24 15:00:00,SOL/USDT,73.48300000,74.07800000,71.58400000,71.99900000,482293.08100000,35050605.85561300,70231
1629813600000,2021-08-24 14:00:00,SOL/USDT,75.12600000,75.14200000,72.63000000,73.49000000,413901.31700000,30661454.13365900,74973
1629810000000,2021-08-24 13:00:00,SOL/USDT,77.16800000,77.45400000,74.00000000,75.15800000,412375.86100000,31063792.25534500,82576
1629806400000,2021-08-24 12:00:00,SOL/USDT,77.76600000,77.89300000,76.34000000,77.15400000,180388.06100000,13908988.56817300,83828
1629802800000,2021-08-24 11:00:00,SOL/USDT,77.40300000,77.92800000,76.01300000,77.76800000,214726.82100000,16567852.42580100,35864
1629799200000,2021-08-24 10:00:00,SOL/USDT,78.89900000,78.97400000,77.16600000,77.41000000,212610.11600000,16580079.36534400,35121
1629795600000,2021-08-24 09:00:00,SOL/USDT,77.64400000,78.90000000,77.09000000,78.90000000,226941.35900000,17707758.54873700,21883
1629792000000,2021-08-24 08:00:00,SOL/USDT,77.26300000,78.20000000,76.83600000,77.62000000,292708.18000000,22726663.68311900,73690
1629788400000,2021-08-24 07:00:00,SOL/USDT,77.76800000,78.06800000,76.82300000,77.27700000,229087.99100000,17744391.80666200,18863
1629784800000,2021-08-24 06:00:00,SOL/USDT,77.83600000,78.77100000,77.69000000,77.76600000,241482.07700000,18873857.26388500,22274
1629781200000,2021-08-24 05:00:00,SOL/USDT,78.49700000,78.49800000,76.63800000,77.85000000,232392.58000000,18039847.97192700,23172
1629777600000,2021-08-24 04:00:00,SOL/USDT,78.24200000,79.45000000,77.37700000,78.49900000,390186.69500000,30603122.35999100,46328
1629774000000,2021-08-24 03:00:00,SOL/USDT,76.18700000,78.89900000,76.14800000,78.24400000,551374.24300000,42846575.44051100,77648
1629770400000,2021-08-24 02:00:00,SOL/USDT,74.43500000,76.44300000,74.10500000,76.18700000,262083.68800000,19837942.95268800,28988
1629766800000,2021-08-24 01:00:00,SOL/USDT,74.59200000,75.40000000,73.59100000,74.45000000,195985.42800000,14649214.47517100,19695
1629763200000,2021-08-24 00:00:00,SOL/USDT,75.64700000,77.23000000,73.38900000,74.61100000,432432.07900000,32651780.58444900,56980
1629759600000,2021-08-23 23:00:00,SOL/USDT,75.10000000,76.77300000,74.90000000,75.62300000,283122.47800000,21462515.37806400,24940
1629756000000,2021-08-23 22:00:00,SOL/USDT,74.22000000,76.81000000,74.18000000,75.10000000,465259.86300000,35106546.87670000,65819
1629752400000,2021-08-23 21:00:00,SOL/USDT,73.56900000,74.22000000,72.95200000,74.20800000,92935.35200000,6839530.47723400,12358
1629748800000,2021-08-23 20:00:00,SOL/USDT,72.81100000,73.80000000,71.83500000,73.57400000,148731.18800000,10815538.87323500,16127
1629745200000,2021-08-23 19:00:00,SOL/USDT,73.22900000,73.22900000,72.43900000,72.82600000,93221.93900000,6789060.09817900,10410
1629741600000,2021-08-23 18:00:00,SOL/USDT,72.48800000,73.79400000,72.44500000,73.23200000,142391.04000000,10427728.03575900,16330
1629738000000,2021-08-23 17:00:00,SOL/USDT,73.02500000,73.03700000,72.35000000,72.50000000,96114.03700000,6984051.06311600,10398
1629734400000,2021-08-23 16:00:00,SOL/USDT,72.04600000,73.10400000,71.90500000,73.02400000,122391.66200000,8882047.22461600,13666
1629730800000,2021-08-23 15:00:00,SOL/USDT,72.02700000,72.80000000,71.70000000,72.04000000,169500.50000000,12247063.30330200,19214
1629727200000,2021-08-23 14:00:00,SOL/USDT,72.89300000,73.13000000,71.54500000,72.05900000,212075.74400000,15334959.17373400,21337
1629723600000,2021-08-23 13:00:00,SOL/USDT,72.95000000,73.13700000,72.51700000,72.89300000,102197.29800000,7443684.95100900,11903
1629720000000,2021-08-23 12:00:00,SOL/USDT,72.74500000,73.51900000,72.65900000,72.95000000,106247.12600000,7757881.43285300,14071
1629716400000,2021-08-23 11:00:00,SOL/USDT,72.41900000,72.97800000,72.25700000,72.75000000,133370.13000000,9682829.32592900,15156
1629712800000,2021-08-23 10:00:00,SOL/USDT,73.74900000,74.05700000,71.75300000,72.42000000,211560.49400000,15431990.70266300,26090
1629709200000,2021-08-23 09:00:00,SOL/USDT,73.04900000,73.74900000,72.80000000,73.72300000,219769.54200000,16102317.66713900,79039
1629705600000,2021-08-23 08:00:00,SOL/USDT,73.35800000,73.70500000,72.50000000,73.03300000,198169.46200000,14511453.83038300,36119
1629702000000,2021-08-23 07:00:00,SOL/USDT,73.73000000,74.06000000,73.31500000,73.35700000,86682.55200000,6389534.15621300,11560
1629698400000,2021-08-23 06:00:00,SOL/USDT,73.64400000,74.37300000,73.40500000,73.72900000,114709.78100000,8469712.86846100,15955
1629694800000,2021-08-23 05:00:00,SOL/USDT,74.30800000,74.45000000,73.10000000,73.62700000,155642.15000000,11504963.05585400,18901
1629691200000,2021-08-23 04:00:00,SOL/USDT,75.44400000,75.67200000,73.41700000,74.30000000,254835.76400000,19030893.33821100,29012
1629687600000,2021-08-23 03:00:00,SOL/USDT,74.06700000,75.94200000,74.06700000,75.39100000,274223.53500000,20558013.87282400,35731
1629684000000,2021-08-23 02:00:00,SOL/USDT,73.58500000,74.65300000,73.23300000,74.04900000,151007.84400000,11145788.26120900,20389
1629680400000,2021-08-23 01:00:00,SOL/USDT,72.74100000,74.10700000,72.50000000,73.58600000,156006.70100000,11461219.22085300,17979
1629676800000,2021-08-23 00:00:00,SOL/USDT,72.75100000,73.60900000,72.00000000,72.74700000,160614.41300000,11700309.35571100,19509
1629673200000,2021-08-22 23:00:00,SOL/USDT,72.90500000,73.95000000,72.54300000,72.77500000,134806.34300000,9878017.59711800,17283
1629669600000,2021-08-22 22:00:00,SOL/USDT,72.14300000,73.46100000,71.93600000,72.93300000,185567.62500000,13509889.02693300,64050
1629666000000,2021-08-22 21:00:00,SOL/USDT,71.81100000,72.54100000,71.50000000,72.11700000,82126.63300000,5906605.29272900,36345
1629662400000,2021-08-22 20:00:00,SOL/USDT,73.07800000,73.08500000,71.24400000,71.81100000,142325.81100000,10241557.22584200,18131
1629658800000,2021-08-22 19:00:00,SOL/USDT,72.82900000,73.46700000,72.78000000,73.07900000,77283.36300000,5651203.20751300,13073
1629655200000,2021-08-22 18:00:00,SOL/USDT,74.14800000,74.14800000,71.50000000,72.82800000,198273.06700000,14373687.18090500,38477
1629651600000,2021-08-22 17:00:00,SOL/USDT,74.31700000,74.63100000,73.87100000,74.15100000,59982.98000000,4451782.60910500,7442
1629648000000,2021-08-22 16:00:00,SOL/USDT,74.59900000,75.07100000,73.89000000,74.28900000,78360.76100000,5831371.73721600,12307
1629644400000,2021-08-22 15:00:00,SOL/USDT,73.93000000,75.06800000,73.80000000,74.61200000,106765.19000000,7945477.80560800,18268
1629640800000,2021-08-22 14:00:00,SOL/USDT,75.38400000,75.79900000,73.35000000,73.92900000,134315.69700000,10022409.46234700,20720
1629637200000,2021-08-22 13:00:00,SOL/USDT,75.84300000,76.14400000,74.62800000,75.38200000,128877.03600000,9722362.19353500,20145
1629633600000,2021-08-22 12:00:00,SOL/USDT,77.07700000,77.32400000,75.51200000,75.84200000,119633.12200000,9124663.19287200,14265
1629630000000,2021-08-22 11:00:00,SOL/USDT,76.09700000,77.25000000,76.01200000,77.07700000,91311.10600000,7014581.27085400,11681
1629626400000,2021-08-22 10:00:00,SOL/USDT,76.84100000,77.46900000,75.90900000,76.12100000,124673.80100000,9576286.05394200,16606
1629622800000,2021-08-22 09:00:00,SOL/USDT,76.44900000,77.27200000,76.19300000,76.83800000,114382.73100000,8779688.11938900,13687
1629619200000,2021-08-22 08:00:00,SOL/USDT,75.52000000,77.60000000,75.00000000,76.44500000,296826.07100000,22698192.39565200,41320
1629615600000,2021-08-22 07:00:00,SOL/USDT,75.30200000,75.59900000,74.81900000,75.51200000,81029.42200000,6091814.85301500,10345
1629612000000,2021-08-22 06:00:00,SOL/USDT,74.53000000,75.46100000,74.28400000,75.31800000,84476.71400000,6319085.31370900,13227
1629608400000,2021-08-22 05:00:00,SOL/USDT,74.86800000,75.78000000,74.34900000,74.54500000,100929.94600000,7566593.47765500,20867
1629604800000,2021-08-22 04:00:00,SOL/USDT,74.29200000,75.08200000,74.24200000,74.90500000,73133.10200000,5463399.37089800,14241
1629601200000,2021-08-22 03:00:00,SOL/USDT,74.58100000,74.97800000,73.54300000,74.30700000,125168.37900000,9297106.03740000,13550
1629597600000,2021-08-22 02:00:00,SOL/USDT,74.92000000,75.00000000,73.95800000,74.55100000,102670.88900000,7653116.49022200,13001
1629594000000,2021-08-22 01:00:00,SOL/USDT,75.00000000,75.23600000,74.36000000,74.94700000,82081.94400000,6142694.46330800,9445
1629590400000,2021-08-22 00:00:00,SOL/USDT,73.85200000,75.56700000,73.39000000,74.98800000,137185.32000000,10207379.36473300,29096
1629586800000,2021-08-21 23:00:00,SOL/USDT,74.75800000,75.19900000,73.50100000,73.80100000,109354.64400000,8130476.71715300,14022
1629583200000,2021-08-21 22:00:00,SOL/USDT,74.28500000,75.78900000,74.09800000,74.75800000,145353.81600000,10890584.79740600,42072
1629579600000,2021-08-21 21:00:00,SOL/USDT,73.93600000,74.57500000,73.46700000,74.24800000,98327.60200000,7284085.47108700,89337
